video_name,train_windows,validation_windows,test_windows,val_naive_mae,val_naive_rmse,val_mean_mae,val_mean_rmse,val_ma3_mae,val_ma3_rmse,val_ar_linear_mae,val_ar_linear_rmse,selected_model,selected_model_val_mae,selected_model_val_rmse,test_naive_mae,test_naive_rmse,test_mean_mae,test_mean_rmse,test_ma3_mae,test_ma3_rmse,test_ar_linear_mae,test_ar_linear_rmse,test_best_model_mae,test_best_model_rmse,val_xgboost_mae,val_xgboost_rmse,test_xgboost_mae,test_xgboost_rmse
makkah_madinah.mp4.mov,9,3,4,1.52,1.52,2.1556,2.1556,2.0,2.0,1.9689,2.0106,naive,1.52,1.52,1.52,1.52,2.1556,2.1556,2.0,2.0,1.998,2.0295,1.52,1.52,2.0844,2.0903,2.115,2.12
marathon.mp4.mov,11,3,5,0.08,0.0864,0.0909,0.0924,0.0933,0.0952,0.1084,0.1138,naive,0.08,0.0864,0.0926,0.1001,0.0991,0.1043,0.1006,0.1065,0.1089,0.1204,0.0926,0.1001,0.103,0.1106,0.1065,0.1195
walking_front.mp4.mp4,70,23,24,1.629,1.9523,1.3737,1.6226,1.8218,2.1485,1.4395,1.6712,mean,1.3737,1.6226,1.6037,1.9418,2.6711,2.9252,1.4101,1.6991,2.59,2.8354,2.6711,2.9252,1.5315,1.8625,1.8969,2.2479
walking_top.mp4.mp4,8,2,4,0.22,0.2608,1.175,1.1833,0.8333,0.845,1.0707,1.4325,naive,0.22,0.2608,1.0588,1.3797,1.6163,1.8888,1.4455,1.6733,0.5668,0.8749,1.0588,1.3797,0.5525,0.5606,1.3229,1.4024
Wari_real_vid.mp4,69,23,24,2.7301,3.3831,2.4317,2.9774,2.4746,3.0431,2.3201,2.9031,ar_linear,2.3201,2.9031,6.5225,6.6477,5.8638,6.0026,5.9809,6.1171,5.9561,6.0892,5.9561,6.0892,2.6238,3.2339,6.2901,6.4189
